2022-11-13 15:01:07: -- Analysis Started by Trying Locks Again
2022-11-13 15:01:57: Changes: 148, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 42796
2022-11-13 15:01:57: Right to Left: Copy File: 148 
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/9930c6070b476dd572801a3f34a0207d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/9930c6070b476dd572801a3f34a0207d.json' (1,843)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a02aa1e97fbced462d736ad3fa7866ae.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a02aa1e97fbced462d736ad3fa7866ae.json' (2,324)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a2c958449c244b6c59ac284a6de34225.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a2c958449c244b6c59ac284a6de34225.json' (2,190)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a1d39c65429025583ea61902fab3e909.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a1d39c65429025583ea61902fab3e909.json' (53,237)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a3723d55f0238b71067174ea84f5c81f.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a3723d55f0238b71067174ea84f5c81f.json' (1,932)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a6bb970c53ef2306752a8f16c2b0ef3e.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a6bb970c53ef2306752a8f16c2b0ef3e.json' (10,368)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/a84c0dfcc24405f97cbef944b533f120.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/a84c0dfcc24405f97cbef944b533f120.json' (1,172)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ac9af5e6d5265dbf38edde511e7b0195.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ac9af5e6d5265dbf38edde511e7b0195.json' (13,488)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/afe03abbb43b69949682a3e892f58b39.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/afe03abbb43b69949682a3e892f58b39.json' (65,144)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/b1f6fe8f00d0d6e48f6643409cf18b55.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/b1f6fe8f00d0d6e48f6643409cf18b55.json' (1,816)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/b39d5b79ba2abae1fb3a1a0b8b2c5919.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/b39d5b79ba2abae1fb3a1a0b8b2c5919.json' (1,751)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/b4c8eb482774aee037570bf270f01849.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/b4c8eb482774aee037570bf270f01849.json' (832)
2022-11-13 15:02:00: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/b7cc082e60614dae4917914d87ba011d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/b7cc082e60614dae4917914d87ba011d.json' (1,049)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/bae2aba4ea3e5092d2649c08970c95eb.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/bae2aba4ea3e5092d2649c08970c95eb.json' (1,083)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/b99e25d8ed82e02cc615981b4a9d09d5.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/b99e25d8ed82e02cc615981b4a9d09d5.json' (21,800)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/be769d81563b5f276433013833be2fa6.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/be769d81563b5f276433013833be2fa6.json' (519)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/bf2e03cd956aeafda9bca59068342ad6.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/bf2e03cd956aeafda9bca59068342ad6.json' (1,225)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/bef9002153338062d7ebe9dc69e2b4ed.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/bef9002153338062d7ebe9dc69e2b4ed.json' (1,287)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c1b6d86eb277d3acb9ded6e2113e20d3.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c1b6d86eb277d3acb9ded6e2113e20d3.json' (412)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c34d9b7b6055e45d0e9b7727584ec0d6.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c34d9b7b6055e45d0e9b7727584ec0d6.json' (984)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c247080539ea352ce8a709297b3a9741.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c247080539ea352ce8a709297b3a9741.json' (311,647)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c4c5f27eccf316a39e3be3f8439748e3.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c4c5f27eccf316a39e3be3f8439748e3.json' (2,090)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c4d39d0b79113d00033ffbc2ad82e18d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c4d39d0b79113d00033ffbc2ad82e18d.json' (10,528)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c6a8e89b4490b6494f947ac2d6ff2126.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c6a8e89b4490b6494f947ac2d6ff2126.json' (986)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c54978058dc9b40727dbaee5340f728f.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c54978058dc9b40727dbaee5340f728f.json' (2,804)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c73cd3c7037601ef0748c51534728dc4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c73cd3c7037601ef0748c51534728dc4.json' (873)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c90d61d250510186a1c0559c44c495a1.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c90d61d250510186a1c0559c44c495a1.json' (1,472)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/c96d6c16991de4dd1ecea99f95089400.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/c96d6c16991de4dd1ecea99f95089400.json' (4,573)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ca1ca4806567534747a65e6a9d2ee19c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ca1ca4806567534747a65e6a9d2ee19c.json' (5,549)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ca570091c9c52d7ec36fe29fc74d5303.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ca570091c9c52d7ec36fe29fc74d5303.json' (766)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ca7297d9dd9259e7fb22d9e7f8db39ec.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ca7297d9dd9259e7fb22d9e7f8db39ec.json' (6,292)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/cb6f71298430c2bb5402603b1ab18da3.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/cb6f71298430c2bb5402603b1ab18da3.json' (669)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/cdd300c3d81c64ad59139f39f8d090b9.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/cdd300c3d81c64ad59139f39f8d090b9.json' (481)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/cce3bef137aa1629b0cf15554fc30c3a.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/cce3bef137aa1629b0cf15554fc30c3a.json' (2,388)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/cdf4bcba965029f84115100fdbce18f7.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/cdf4bcba965029f84115100fdbce18f7.json' (617)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/d21f4fda39eda1388a89d101dd771ccc.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/d21f4fda39eda1388a89d101dd771ccc.json' (1,504)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/d18dec74d4b83ca89a66298a26a9b010.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/d18dec74d4b83ca89a66298a26a9b010.json' (45,637)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/d3cd19362b68d92c29d4145b2cb69b03.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/d3cd19362b68d92c29d4145b2cb69b03.json' (1,895)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/d9d2421b1b873ddcf5a3ed117c12c87c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/d9d2421b1b873ddcf5a3ed117c12c87c.json' (21,813)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/db19b127beaef600ddb94c173c62a556.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/db19b127beaef600ddb94c173c62a556.json' (1,196)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/dc837733f871a9cb99400e85a91e22b6.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/dc837733f871a9cb99400e85a91e22b6.json' (7,550)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/deab43949769dc126887a6cb33b1b367.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/deab43949769dc126887a6cb33b1b367.json' (24,338)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/df17624d089ed2122b8e4c18e42422b4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/df17624d089ed2122b8e4c18e42422b4.json' (2,971)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e174d17d9322d28cb7949f9f716ba4e3.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e174d17d9322d28cb7949f9f716ba4e3.json' (2,185)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e1ad2bdcbfbf92d4f435a89d1757cdc2.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e1ad2bdcbfbf92d4f435a89d1757cdc2.json' (1,061)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e36c1233e94aff29766c8f15bb7f616b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e36c1233e94aff29766c8f15bb7f616b.json' (7,200)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e45fd5e36cb5e0cf9039852d737ebec7.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e45fd5e36cb5e0cf9039852d737ebec7.json' (629)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e57d63e7b37805b5054c0cdec952c074.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e57d63e7b37805b5054c0cdec952c074.json' (3,204)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e6b71eb4d0d4592fd9832a00d1bbb630.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e6b71eb4d0d4592fd9832a00d1bbb630.json' (6,067)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/e8fb395583b2006b71e5d18cbfbfd396.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/e8fb395583b2006b71e5d18cbfbfd396.json' (2,592)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ea6ca9f25a90721014c80c9d77d0e7ee.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ea6ca9f25a90721014c80c9d77d0e7ee.json' (1,752)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/ed16359ccb2dc21c22f6e84aadb8f764.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/ed16359ccb2dc21c22f6e84aadb8f764.json' (1,506)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/edba5018f6938d9fc7ec71456d214c2d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/edba5018f6938d9fc7ec71456d214c2d.json' (1,960)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/f6b40add4ed26587c0fbb6809f3542fc.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/f6b40add4ed26587c0fbb6809f3542fc.json' (6,112)
2022-11-13 15:02:01: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/f60c0e1ebd30c988cd8e88a6a401c871.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/f60c0e1ebd30c988cd8e88a6a401c871.json' (88,996)
2022-11-13 15:02:02: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/f7f0bbf852a6574a4f57f5904a223b9f.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/f7f0bbf852a6574a4f57f5904a223b9f.json' (1,784)
2022-11-13 15:02:02: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/fa0f194cdd87e618071876c5edf5f34c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/fa0f194cdd87e618071876c5edf5f34c.json' (69,707)
2022-11-13 15:02:02: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/fdac9738a6ddca0f38b16ff2e7c17b3f.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/fdac9738a6ddca0f38b16ff2e7c17b3f.json' (2,312)
2022-11-13 15:02:03: == Sync Complete. Time: 00:00:56, Speed: 238.19 KB/s, OK: 148, Errors: 0
